"","Test Values: Victim Total","Test Predictions: Victim Total"
"9",37,32.6903530963146
"10",23,28.0122773448773
"13",23,30.311208008658
"14",69,32.9848030384648
"17",18,51.2018933000007
"18",37,33.8383445336145
"31",21,40.1763322358928
"34",1,33.3787782044984
"38",23,29.8690468117252
"39",37,38.6517111111111
"42",23,36.0797112280519
"43",15,34.9131861176552
"49",10,37.8602460504903
"52",64,23.2660129688473
"70",70,29.8131929880693
"72",13,34.90236674562
"74",28,39.4661829753837
"76",23,31.2049182971117
"79",37,35.1116696969697
"85",23,29.1589799796177
"93",37,30.9575161204029
"95",69,45.9817722222222
"103",37,34.7632593033732
"117",23,28.095751873263
"118",23,37.6485332527318
"119",23,30.3701833372649
"123",73,34.1774259424786
"128",23,40.2969142857143
"132",6,47.5758426205374
"133",37,40.4636337662338
"136",37,29.6084236849152
"143",23,35.0768952641734
"144",37,30.8692116644452
"149",13,40.3802903679654
"152",15,44.2180020308123
"157",64,27.6644774424232
"161",56,30.7133448805171
"165",23,33.0413793475877
"166",56,45.7214345360195
"168",37,36.4609813096629
"170",56,38.0196846046395
"177",71,35.7612293650794
"178",69,45.2337996336997
"179",37,32.3200269428284
"180",19,45.722708994894
"188",74,38.3584354051452
"189",23,36.3966470418471
"190",23,30.385868188375
"193",8,34.0562211455211
"196",47,44.0299229437229
"197",23,24.0619612820972
"198",23,30.154708093634
"201",37,42.0514222373497
"209",23,27.7559236815472
"210",37,33.6614740512809
"211",56,29.8579426378788
"215",37,36.4189725829726
"218",37,44.7496669323713
"221",23,38.4450464174714
"222",23,40.7513333333333
"223",23,27.6628736649316
"228",37,37.5563142857143
"237",6,17.9503277777778
"241",74,38.8489647143741
"242",23,39.9352205211455
"245",23,34.1024282773148
"249",23,29.0744181447095
"255",23,40.7160453907204
"261",37,40.179407302077
"265",47,32.2591987567988
"268",57,38.6050924242424
"270",47,40.3531239570371
"275",64,40.3424607142857
"276",51,46.0857247752248
"281",47,42.1454333333333
"282",56,38.0981563636364
"284",37,39.4661829753837
"292",23,42.1190627926896
"295",74,34.8849678322486
"305",23,37.8410126984127
"306",23,32.4739437337811
"310",23,37.6281381030381
"313",38,34.7821591459028
"314",23,38.0378972298741
"315",37,29.4118623621648
"323",23,28.6108755565735
"324",56,33.0986215728716
"328",37,33.6519138472879
"329",69,37.4446179417027
"330",23,33.0305636946065
"331",23,31.4990579966817
"332",23,27.867658426442
"334",23,32.726794877214
"336",37,36.3857985247187
"337",47,42.8587640187813
"339",64,36.9204070785071
"342",23,34.9199396825397
"346",47,42.9504753357753
"347",47,30.4238194217968
"349",23,40.9874357142857
"351",56,43.81942502184
"354",47,40.8902565434566
"357",69,34.8164666666666
"359",56,43.319557295461
"361",37,33.0207378554452
"362",37,44.0558711700065
"363",69,32.0392327637962
"366",37,42.2939666666667
"374",2,41.6159196969697
"375",6,39.9791990620491
"380",23,30.3701833372649
"381",37,37.4325614787315
"384",37,27.60506227668
"387",23,33.5698451396974
"389",30,30.8898
"391",22,31.623657035506
"392",74,47.4545997557654
"397",47,32.591607081099
"398",37,60.6570593884959
"401",37,51.4692629426129
"402",73,38.8922368742369
"403",23,45.8265893939394
"409",37,33.0224612129099
"410",37,33.2626676048206
"416",37,33.1238974515857
"419",23,25.6041930712521
"420",56,41.1495071428571
"421",23,31.3203729606994
"424",37,31.6773876186904
"434",23,35.8357853056781
"442",56,40.9902456140351
"445",23,43.6740811090035
"448",69,32.6459063492064
"450",23,38.8038419232181
"455",17,36.6046627271421
"456",56,35.1521573175844
"458",37,35.2106605616606
"464",23,31.3459881855167
"466",23,37.5614860187987
"468",56,50.18366946726
"472",23,29.94301
"475",23,30.1236427905428
"481",23,35.4145699304399
"482",64,39.4199527900495
"485",47,37.3348407478143
"488",23,31.0036815333789
"489",37,29.3619401421688
"491",13,33.5458404761905
"499",23,31.5484402153402
"500",23,45.5502579365079
"501",47,47.6841653679654
"502",37,40.3947421994672
"516",37,33.2531907838893
"519",47,39.9282235778841
"523",37,46.5234252857082
"527",47,43.6697213564214
"529",56,44.0826
"531",37,56.9920933806531
"533",2,48.0880047619048
"535",23,42.6474015151515
"538",47,48.073480952381
"541",23,32.6851298634291
"544",23,28.6339764382681
"559",47,39.9423104912638
"563",37,44.9351862278245
"565",23,35.263436008436
"566",37,27.8850390373068
"571",73,48.3275333333333
"572",23,32.664941496755
"578",64,32.9325506493507
"580",37,34.4634044565797
"585",72,41.0256299422799
"590",74,34.1907614131345
"592",47,36.2250084088259
"596",56,35.3507029405006
"597",37,35.0410569186841
"598",37,34.4627237512611
"599",23,40.4643764816161
"605",24,41.3063131591156
"607",17,46.5489038890848
"618",37,45.8328023368702
"619",23,40.2119191919192
"621",23,30.5444261409815
"622",8,36.3814062278778
"624",47,41.593419047619
"632",74,30.8544786839354
"634",23,31.8021575295583
"639",37,34.8839244225073
"640",69,41.1842333333333
"642",23,29.8814553177215
"644",37,36.4609813096629
"645",2,36.2944669764446
"651",23,35.4902160647416
"656",37,39.173826984127
"657",37,41.3379738095238
"662",37,34.5745179492602
"669",8,37.1184805194805
"671",64,41.5667204481793
"673",37,40.8411412698413
"674",23,33.5441317460318
"675",6,53.4247277361619
"681",73,45.2502666666667
"682",37,34.0444542140175
"684",23,34.632413282174
"685",37,28.3552358055015
"686",56,36.6759220700352
"692",47,42.1190627926896
"694",23,33.6408455443129
"695",37,40.6546472699225
"697",23,37.3525001633987
"699",64,40.3308226930301
"705",37,38.4968128612129
"709",23,31.6443836126318
"711",64,39.4885212665989
"712",73,43.6261873015873
"713",37,33.0046285714286
"715",37,42.9176
"725",37,30.2609446865415
"726",56,42.2607888888889
"734",34,45.7298333333333
"735",31,36.7736737373738
"739",23,37.2091537746167
"750",47,37.2056543846276
"753",23,45.747614235014
"754",23,34.5969847564566
"755",37,33.3443004687983
"758",37,38.2699859307359
"764",23,26.1562339471432
"768",64,45.8081523088023
"770",47,41.0713253968254
"771",37,32.3498438853544
"772",47,40.778035315206
"773",69,51.1878121212121
"776",37,36.6424795141578
"780",23,31.3748255590156
"789",23,36.751569523547
"791",47,36.7246988624902
"793",48,45.2112809523809
"794",64,52.2210515873016
"796",23,32.4434781723911
"797",23,37.0476522424846
"798",64,36.0335867449372
"800",56,47.8986248049478
"803",56,49.7516057189543
"804",23,26.6794372305236
"805",37,41.6731756895066
"810",47,32.3508904234654
"824",56,36.5712256395136
"829",23,32.3286839619788
"830",23,27.2977873667182
"833",40,34.3175186180486
"837",37,36.1277814747092
"840",23,39.6947987212838
"841",23,26.7321430410068
"843",56,41.5306404761904
"847",47,30.4329108567764
"851",23,43.4433654900655
"852",23,33.4548326865315
"855",37,28.3662016850985
"860",10,38.9063409090909
"864",64,39.1870982088121
"865",25,46.6286666666667
"866",1,34.5745179492602
"870",37,44.4917333333333
"875",23,30.9540913853638
"877",47,38.8874412698413
"879",23,34.0542996828335
"886",37,49.5130072150072
"887",47,37.1485675070028
"888",38,34.0283117438118
"890",37,38.4204900793651
"892",23,30.5568826479633
"895",37,43.3197047619048
"897",23,27.8607363444413
"898",64,48.0437105616606
"903",13,42.7228626228673
"904",23,46.317627111138
"906",37,33.4279365626775
"909",23,43.8177901564202
"910",23,50.4189749410204
"912",56,31.5485570643205
"917",23,41.6970627407878
"921",56,31.3330770167555
"929",37,42.2395650260555
"930",23,33.9505210495851
"932",47,42.5173391857741
"938",69,34.5941333333333
"939",23,27.7762941426899
"948",37,40.8718466339216
"949",23,29.2298698533309
"958",64,49.4192292451013
"960",37,35.7233498918146
"962",56,34.1944792646543
"965",23,33.9983006099336
"969",23,27.4291496522667
"970",69,47.4858555555556
"971",37,36.1001636363636
"980",23,26.5669060342392
"982",56,45.8574517412412
"985",47,44.939
"988",64,47.2621666666667
"989",69,42.2521666666667
"991",23,35.4688669134958
"992",23,34.5162944280955
"994",56,30.1179813345447
"1000",37,29.8690468117252
"1003",37,43.8136500546839
"1007",56,47.5502285714286
"1010",23,36.3344662619177
"1017",23,49.6669730048677
"1019",73,39.5170380841381
"1020",23,32.7456707875458
"1021",37,47.1409
"1024",15,34.3270827604198
"1028",69,49.0665767973856
"1031",64,35.859362725047
"1035",23,31.9645250601457
"1038",37,39.698038255223
"1039",6,38.3391920634921
"1051",37,47.74325
"1056",37,39.1211333333333
"1059",37,38.8111550598954
"1067",1,30.8372235634843
"1069",56,47.4469458838342
"1070",23,29.2840827381039
"1072",23,30.4247628231934
"1075",23,35.6853549087659
"1083",23,32.6965793650793
"1089",2,37.6355714285714
"1091",23,40.8144238095238
"1094",47,45.8228381773112
"1095",2,40.4837974691975
